number,problem_id,opened_at,u_next_action_due_date,short_description,cmdb_ci,category,state,assignment_group,opened_by,impact,urgency,sys_updated_on,description,u_reopen_count,close_notes
INC6053814,,22/12/2025 01:43,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,New,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,22/12/2025 01:43,"12/21/2025 10:30:00 AM -> Step 1 [MAINT_Weekly_INDEX_OPTIMIZE]:
 
  Executed as user: INT\ClustAgtSrvc. ... Version: 14.0.3515.1 Edition: Enterprise Edition: Core-based Procedure: [MAINTENANCE].[dbo].[IndexOptimize] Parameters: @Databases = 'PolicyCenter', @FragmentationLow = NULL, @FragmentationMedium = 'INDEX_REORGANIZE,INDEX_REBUILD_ONLINE,INDEX_REBUILD_OFFLINE', @FragmentationHigh = 'INDEX_REBUILD_ONLINE,INDEX_REBUILD_OFFLINE', @FragmentationLevel1 = 15, @FragmentationLevel2 = 30, @PageCountLevel = 1000, @SortInTempdb = 'Y', @MaxDOP = 0, @FillFactor = NULL, @PadIndex = NULL, @LOBCompaction = 'Y', @UpdateStatistics = 'ALL', @OnlyModifiedStatistics = 'N', @StatisticsSample = NULL, @StatisticsResample = 'N', @PartitionLevel = 'Y', @MSShippedObjects = 'N', @Indexes = 'ALL_INDEXES, -PolicyCenter.dbo.pcx_ratinglogs_mig, -PolicyCenter.dbo.pcx_qbmessage_mig, -PolicyCenter.dbo.pc_bacost, -PolicyCenter.dbo.pcx_costextensions_mig, -PolicyCenter.dbo.pc_activity, -PolicyCenter.dbo.pc_workflow, -PolicyCenter.dbo.pc_messagehistory, -PolicyCenter.dbo.pc_message', @TimeLimit = 52200,
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSCV401A.INT.MGC.COM
 
 [Object Name]: MAINT_Weekly_INDEX_STATS_Sun1030AM_Mon0100AM
 
 [Message]: Job 'MAINT_Weekly_INDEX_STATS_Sun1030AM_Mon0100AM' Failed on Step 1 [MAINT_Weekly_INDEX_OPTIMIZE]
 
 [Start Time]: 12/21/2025 10:30:00 AM
 
 [End Time]: 12/22/2025 1:41:46 AM
 
 [Duration]: 15 hours, 11 minutes, 46 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/SentryOne/em/eventview/?c=299&id=558112027
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: sa
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 12/22/2025 1:41:49 AM
 
 [Timestamp (UTC)]: 12/22/2025 9:41:49 AM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT017]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",,
INC6053776,,20/12/2025 12:24,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Resolved,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,20/12/2025 12:36,"12/20/2025 12:23:39 PM -> Step 1 [Example_Data Database Connecions]:
 
  Executed as user: INT\ClustAgtSrvc. No global profile is configured. Specify a profile name in the @profile_name parameter. [SQLSTATE 42000] (Error 14636). The step failed.
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSCV315A.INT.MGC.COM\INST3
 
 [Object Name]: MONITOR_Daily_Example_Data_DBConnections
 
 [Message]: Job 'MONITOR_Daily_Example_Data_DBConnections' Failed on Step 1 [Example_Data Database Connecions]
 
 [Start Time]: 12/20/2025 12:23:39 PM
 
 [End Time]: 12/20/2025 12:23:39 PM
 
 [Duration]: 0 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/Sentryone/em/eventview/?c=259&id=557976632
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: sa
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 12/20/2025 12:24:18 PM
 
 [Timestamp (UTC)]: 12/20/2025 8:24:18 PM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT015]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",,"It has been taken care, hence marking as resolved."
INC6053768,,19/12/2025 22:02,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Resolved,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,20/12/2025 12:42,"12/19/2025 10:01:00 PM -> Step 1 [CC Database Connections]:
 
  Executed as user: INT\ClustAgtSrvc. Failed to initialize sqlcmd library with error number -2147467259. [SQLSTATE 42000] (Error 22050). The step failed.
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSCV401J.INT.MGC.COM
 
 [Object Name]: MONITOR_Daily_CC_DBConnections
 
 [Message]: Job 'MONITOR_Daily_CC_DBConnections' Failed on Step 1 [CC Database Connections]
 
 [Start Time]: 12/19/2025 10:01:00 PM
 
 [End Time]: 12/19/2025 10:01:00 PM
 
 [Duration]: 0 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/Sentryone/em/eventview/?c=412&id=557921879
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: sa
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 12/19/2025 10:01:06 PM
 
 [Timestamp (UTC)]: 12/20/2025 6:01:06 AM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT015]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",,This job has been reran successfully.
INC6053168,,17/12/2025 23:33,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,3 - Low,3 - Low,22/12/2025 00:00,"12/17/2025 11:30:00 PM -> Step 1 [Updata stats for IMAGEFAMILY_USAGE]:
 
  Executed as user: INT\ClustAgtSrvc. Database 'MercuryX' does not exist. Make sure that the name is entered correctly. [SQLSTATE 08004] (Error 911). The step failed.
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSCV502D.INT.MGC.COM\INST4
 
 [Object Name]: MAINT_UPDATE_NIGHTLY_UPDATE_STATS_IMAGEFAMILY_USAGE and T_WORKITEM tables.
 
 [Message]: Job 'MAINT_UPDATE_NIGHTLY_UPDATE_STATS_IMAGEFAMILY_USAGE and T_WORKITEM tables.' Failed on Step 1 [Updata stats for IMAGEFAMILY_USAGE]
 
 [Start Time]: 12/17/2025 11:30:00 PM
 
 [End Time]: 12/17/2025 11:30:00 PM
 
 [Duration]: 0 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/Sentryone/em/eventview/?c=363&id=557694125
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: sa
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 12/17/2025 11:30:42 PM
 
 [Timestamp (UTC)]: 12/18/2025 7:30:42 AM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT015]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,Job has failed due to DB is not exists on server. so we have disabled the job.
INC6052856,,16/12/2025 23:30,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,3 - Low,3 - Low,22/12/2025 00:00,"12/16/2025 11:30:00 PM -> Step 1 [Updata stats for IMAGEFAMILY_USAGE]:
 
  Executed as user: INT\ClustAgtSrvc. Database 'MercuryX' does not exist. Make sure that the name is entered correctly. [SQLSTATE 08004] (Error 911). The step failed.
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSCV502D.INT.MGC.COM\INST4
 
 [Object Name]: MAINT_UPDATE_NIGHTLY_UPDATE_STATS_IMAGEFAMILY_USAGE and T_WORKITEM tables.
 
 [Message]: Job 'MAINT_UPDATE_NIGHTLY_UPDATE_STATS_IMAGEFAMILY_USAGE and T_WORKITEM tables.' Failed on Step 1 [Updata stats for IMAGEFAMILY_USAGE]
 
 [Start Time]: 12/16/2025 11:30:00 PM
 
 [End Time]: 12/16/2025 11:30:00 PM
 
 [Duration]: 0 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/SentryOne/em/eventview/?c=363&id=557545316
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: sa
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 12/16/2025 11:30:15 PM
 
 [Timestamp (UTC)]: 12/17/2025 7:30:15 AM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT017]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,Job is disabled because db not exist on server.
INC6052852,,16/12/2025 23:02,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,3 - Low,3 - Low,22/12/2025 00:00,"12/16/2025 11:00:00 PM -> Step 1 [Update Stats]:
 
  Executed as user: INT\ClustAgtSrvc. Database 'MercuryX' does not exist. Make sure that the name is entered correctly. [SQLSTATE 08004] (Error 911). The step failed.
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSCV502D.INT.MGC.COM\INST4
 
 [Object Name]: MAINT_UPDATE_STATS_MercuryX
 
 [Message]: Job 'MAINT_UPDATE_STATS_MercuryX' Failed on Step 1 [Update Stats]
 
 [Start Time]: 12/16/2025 11:00:00 PM
 
 [End Time]: 12/16/2025 11:00:00 PM
 
 [Duration]: 0 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/SentryOne/em/eventview/?c=363&id=557543545
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: sa
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 12/16/2025 11:00:11 PM
 
 [Timestamp (UTC)]: 12/17/2025 7:00:11 AM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT017]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,"As verified, db is not present on server which is causing the job failure. So we disabled the job."
INC6052356,,15/12/2025 08:22,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,19/12/2025 00:00,"12/15/2025 8:20:21 AM -> Step 1 [MAINT_Weekly_INDEX_STATS_Altiris]:
 
  Unable to connect to SQL Server 'BRPRWSCV313B\INST2'. The step failed.
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSCV313B.INT.MGC.COM\INST2
 
 [Object Name]: MAINT_Weekly_INDEX_STATS_Altiris
 
 [Message]: Job 'MAINT_Weekly_INDEX_STATS_Altiris' Failed on Step 1 [MAINT_Weekly_INDEX_STATS_Altiris]
 
 [Start Time]: 12/15/2025 8:20:21 AM
 
 [End Time]: 12/15/2025 8:20:21 AM
 
 [Duration]: 0 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/SentryOne/em/eventview/?c=477&id=557367688
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: sa
 
 [Category]: Database Maintenance
 
 [Timestamp (Local)]: 12/15/2025 8:20:52 AM
 
 [Timestamp (UTC)]: 12/15/2025 4:20:52 PM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT017]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,The error triggered during the troubleshooting and now reran successfully.
INC6052278,,13/12/2025 23:01,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,19/12/2025 00:00,"12/13/2025 11:00:00 PM -> Step 1 [MAINT_Weekly_INDEX_STATS_Altiris]:
 
  Unable to connect to SQL Server 'BRPRWSCV313B\INST2'. The step failed.
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSCV313B.INT.MGC.COM\INST2
 
 [Object Name]: MAINT_Weekly_INDEX_STATS_Altiris
 
 [Message]: Job 'MAINT_Weekly_INDEX_STATS_Altiris' Failed on Step 1 [MAINT_Weekly_INDEX_STATS_Altiris]
 
 [Start Time]: 12/13/2025 11:00:00 PM
 
 [End Time]: 12/13/2025 11:00:00 PM
 
 [Duration]: 0 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/SentryOne/em/eventview/?c=477&id=557236034
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: sa
 
 [Category]: Database Maintenance
 
 [Timestamp (Local)]: 12/13/2025 11:00:16 PM
 
 [Timestamp (UTC)]: 12/14/2025 7:00:16 AM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT017]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,This job reran successfully.
INC6051940,,12/12/2025 0:06,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,19/12/2025 00:00,"12/12/2025 12:00:00 AM -> Step 1 [Execute SSIS Package]:
 
  Executed as user: INT\ClustAgtSrvc. ...n 13.0.6300.2 for 64-bit Copyright (C) 2016 Microsoft. All rights reserved. Started: 12:00:01 AM Error: 2025-12-12 00:05:28.59 Code: 0x00000000 Source: Process Full Process Full Description: Microsoft SQL Server 2016 Analysis Services: Internal error: The operation terminated unsuccessfully. Microsoft SQL Server 2016 Analysis Services: Errors in the high-level relational engine. The database operation was cancelled because of an earlier failure. Microsoft SQL Server 2016 Analysis Services: Errors in the OLAP storage engine: An error occurred while the dimension, with the ID of 'PowerBroker UL Policy', Name of 'PowerBroker UL Policy' was being processed. Microsoft SQL Server 2016 Analysis Services: Errors in the OLAP storage engine: An error occurred while the 'Line In File' attribute of the 'PowerBroker UL Policy' dimension from the 'BeyondInsightReporting' database was being processed. Microsoft SQL Server 2016 Analysis Services: Errors in the OLAP
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL312.INT.MGC.COM
 
 [Object Name]: BeyondInsight - Process Daily
 
 [Message]: Job 'BeyondInsight - Process Daily' Failed on Step 1 [Execute SSIS Package]
 
 [Start Time]: 12/12/2025 12:00:00 AM
 
 [End Time]: 12/12/2025 12:05:39 AM
 
 [Duration]: 5 minutes, 39 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/SentryOne/em/eventview/?c=216&id=557044688
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: sa
 
 [Category]: /BeyondTrust/BeyondInsight
 
 [Timestamp (Local)]: 12/12/2025 12:05:59 AM
 
 [Timestamp (UTC)]: 12/12/2025 8:05:59 AM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT017]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,Closing as Duplicate of INC6050935
INC6051672,,11/12/2025 0:08,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,3 - Low,3 - Low,19/12/2025 00:00,"12/11/2025 12:00:00 AM -> Step 1 [Execute SSIS Package]:
 
  Executed as user: INT\ClustAgtSrvc. Started: 12:00:00 AM Finished: 12:05:44 AM Elapsed: 344.078 seconds. The package execution failed. The step failed.
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL312.INT.MGC.COM
 
 [Object Name]: BeyondInsight - Process Daily
 
 [Message]: Job 'BeyondInsight - Process Daily' Failed on Step 1 [Execute SSIS Package]
 
 [Start Time]: 12/11/2025 12:00:00 AM
 
 [End Time]: 12/11/2025 12:05:46 AM
 
 [Duration]: 5 minutes, 46 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/Sentryone/em/eventview/?c=216&id=556911756
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: sa
 
 [Category]: /BeyondTrust/BeyondInsight
 
 [Timestamp (Local)]: 12/11/2025 12:06:25 AM
 
 [Timestamp (UTC)]: 12/11/2025 8:06:25 AM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT015]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,Closing as Duplicate of INC6050935
