number,problem_id,opened_at,u_next_action_due_date,short_description,cmdb_ci,category,state,assignment_group,opened_by,impact,urgency,sys_updated_on,description,u_reopen_count,resolution comments
INC6033005,PRB0057609,05/10/2025 5:07,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,3 - Low,3 - Low,09/10/2025 0:00,"10/5/2025 4:11:00 AM -> :
 
  The job failed. The Job was invoked by Schedule 1056 (Sch1 Capture DB Connections to Table). The last step to run was step 1 (Capture PC DB Connections to UserConnection Table).
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSCV401A.INT.MGC.COM
 
 [Object Name]: MONITOR_Capture_5Mins_PC_DBConnections_Table
 
 [Message]: Job 'MONITOR_Capture_5Mins_PC_DBConnections_Table' Failed
 
 [Start Time]: 10/5/2025 4:11:00 AM
 
 [End Time]: 10/5/2025 4:12:36 AM
 
 [Duration]: 1 minute, 36 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/SentryOne/em/eventview/?c=299&id=549259443
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: sa
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 10/5/2025 5:05:43 AM
 
 [Timestamp (UTC)]: 10/5/2025 12:05:43 PM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT017]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,
INC6032963,PRB0057609,05/10/2025 4:06,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,09/10/2025 0:00,"10/5/2025 4:01:06 AM -> Step 1 [SQL Threads]:
 
  Executed as user: INT\ClustAgtSrvc. Failed to open loopback connection. Please see event log for more information. [SQLSTATE 42000] (Error 22050) Failed to initialize sqlcmd library with error number -2147467259. [SQLSTATE 42000] (Error 22050). The step failed.
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSCV401A.INT.MGC.COM
 
 [Object Name]: MONITOR_Daily_PC_SQL_Threads_Notify
 
 [Message]: Job 'MONITOR_Daily_PC_SQL_Threads_Notify' Failed on Step 1 [SQL Threads]
 
 [Start Time]: 10/5/2025 4:00:01 AM
 
 [End Time]: 10/5/2025 4:02:06 AM
 
 [Duration]: 2 minutes, 5 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/SentryOne/em/eventview/?c=299&id=549255886
 
 ----------------------------------------------------------------------
 
 [Description]: No description available.
 
 [Owner]: sa
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 10/5/2025 4:04:38 AM
 
 [Timestamp (UTC)]: 10/5/2025 11:04:38 AM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT017]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,
INC6032960,PRB0057609,05/10/2025 4:06,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,09/10/2025 0:00,"10/5/2025 4:00:01 AM -> :
 
  The job failed. The Job was invoked by Schedule 1016 (SCH_PC_DBConnections). The last step to run was step 1 (PC Database Connecions).
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSCV401A.INT.MGC.COM
 
 [Object Name]: MONITOR_Daily_PC_DBConnections
 
 [Message]: Job 'MONITOR_Daily_PC_DBConnections' Failed
 
 [Start Time]: 10/5/2025 4:00:01 AM
 
 [End Time]: 10/5/2025 4:02:36 AM
 
 [Duration]: 2 minutes, 35 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/SentryOne/em/eventview/?c=299&id=549255887
 
 ----------------------------------------------------------------------
 
 [Description]: INC5333993
 
 [Owner]: sa
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 10/5/2025 4:04:38 AM
 
 [Timestamp (UTC)]: 10/5/2025 11:04:38 AM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT017]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,
INC6032847,,04/10/2025 23:30,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,3 - Low,3 - Low,13/10/2025 00:00,"10/4/2025 11:30:00 PM -> Step 1 [MAINT_Weekly_CHECKDB_USER_DB]:
 
  Executed as user: INT\ClustAgtSrvc. Unable to open Step output file. The step failed.
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL603.INT.MGC.COM
 
 [Object Name]: MAINT_Weekly_CHECKDB_USER_DB
 
 [Message]: Job 'MAINT_Weekly_CHECKDB_USER_DB' Failed on Step 1 [MAINT_Weekly_CHECKDB_USER_DB]
 
 [Start Time]: 10/4/2025 11:30:00 PM
 
 [End Time]: 10/4/2025 11:30:00 PM
 
 [Duration]: 0 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/Sentryone/em/eventview/?c=530&id=549223363
 
 ----------------------------------------------------------------------
 
 [Description]: Source: https://ola.hallengren.com
 
 [Owner]: sa
 
 [Category]: Database Maintenance
 
 [Timestamp (Local)]: 10/4/2025 11:30:15 PM
 
 [Timestamp (UTC)]: 10/5/2025 6:30:15 AM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT015]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,
INC6032841,,04/10/2025 23:02,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,3 - Low,3 - Low,09/10/2025 0:00,"10/4/2025 11:00:00 PM -> Step 1 [MAINT_Weekly_CHECKDB_SYS_DB]:
 
  Executed as user: INT\ClustAgtSrvc. Unable to open Step output file. The step failed.
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL603.INT.MGC.COM
 
 [Object Name]: MAINT_Weekly_CHECKDB_SYS_DB
 
 [Message]: Job 'MAINT_Weekly_CHECKDB_SYS_DB' Failed on Step 1 [MAINT_Weekly_CHECKDB_SYS_DB]
 
 [Start Time]: 10/4/2025 11:00:00 PM
 
 [End Time]: 10/4/2025 11:00:00 PM
 
 [Duration]: 0 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/Sentryone/em/eventview/?c=530&id=549219864
 
 ----------------------------------------------------------------------
 
 [Description]: Source: https://ola.hallengren.com
 
 [Owner]: sa
 
 [Category]: Database Maintenance
 
 [Timestamp (Local)]: 10/4/2025 11:00:38 PM
 
 [Timestamp (UTC)]: 10/5/2025 6:00:38 AM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT015]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,
INC6032838,,04/10/2025 22:01,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,09/10/2025 0:00,"10/4/2025 10:00:00 PM -> Step 1 [MAINT_Weekly_INDEX_STATS]:
 
  Executed as user: INT\ClustAgtSrvc. Unable to open Step output file. The step failed.
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL603.INT.MGC.COM
 
 [Object Name]: MAINT_Weekly_INDEX_STATS
 
 [Message]: Job 'MAINT_Weekly_INDEX_STATS' Failed on Step 1 [MAINT_Weekly_INDEX_STATS]
 
 [Start Time]: 10/4/2025 10:00:00 PM
 
 [End Time]: 10/4/2025 10:00:00 PM
 
 [Duration]: 0 seconds
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/Sentryone/em/eventview/?c=530&id=549212506
 
 ----------------------------------------------------------------------
 
 [Description]: Source: https://ola.hallengren.com
 
 [Owner]: sa
 
 [Category]: Database Maintenance
 
 [Timestamp (Local)]: 10/4/2025 10:00:21 PM
 
 [Timestamp (UTC)]: 10/5/2025 5:00:21 AM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT015]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,
INC6032823,,04/10/2025 5:17,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,3 - Low,3 - Low,13/10/2025 00:00,"10/4/2025 5:15:01 AM -> Step 3 [Move_Metrics_15Min_1Day]:
 
  'EXECUTE AS LOGIN' failed for the requested login 'INT\svc_nlyte'. The step failed.
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL609.INT.MGC.COM
 
 [Object Name]: FieldView_Metrics_Job
 
 [Message]: Job 'FieldView_Metrics_Job' Failed on Step 3 [Move_Metrics_15Min_1Day]
 
 [Start Time]: 10/4/2025 5:15:00 AM
 
 [End Time]: 10/4/2025 5:15:01 AM
 
 [Duration]: 1 second
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/SentryOne/em/eventview/?c=533&id=549072041
 
 ----------------------------------------------------------------------
 
 [Description]: Job to Calculate and Trend Metrics...
 
 [Owner]: INT\svc_nlyte
 
 [Category]: [Uncategorized (Local)]
 
 [Timestamp (Local)]: 10/4/2025 5:16:19 AM
 
 [Timestamp (UTC)]: 10/4/2025 12:16:19 PM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT017]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: SQL Server Agent Job: Failure
 
 [Filter String]: Not Contains([Object Name], 'collection')
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,
INC6032814,,03/10/2025 21:36,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,09/10/2025 0:00,"10/3/2025 9:33:28 PM:
 
  Could not start Service Broker for database id: 8. A problem is preventing SQL Server from starting Service Broker. Check the SQL Server error log for additional messages.
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL608.INT.MGC.COM
 
 [Object Name]: Application
 
 [Message]: An event occurred in the Windows Event Log.
 
 [Event Time]: 10/3/2025 9:33:28 PM
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/SentryOne/em/eventview/?c=528&id=549029463
 
 ----------------------------------------------------------------------
 
 [Timestamp (Local)]: 10/3/2025 9:33:53 PM
 
 [Timestamp (UTC)]: 10/4/2025 4:33:53 AM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT017]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: Windows Event Log: Event
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 [Source]: MSSQLSERVER
 
 [Event ID]: 9697
 
 [Level]: Information
 
 [Op Code]: Info
 
 [Task Category]: Server
 
 [Computer]: brprwsql608.int.mgc.com
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,
INC6032812,,03/10/2025 21:36,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,2 - Medium,2 - Medium,09/10/2025 0:00,"10/3/2025 9:33:28 PM:
 
  An error occurred in the service broker manager, Error: 3602, State: 145.
 
 
 
 ----------------------------------------------------------------------
 
 [Connection]: BRPRWSQL608.INT.MGC.COM
 
 [Object Name]: Application
 
 [Message]: An event occurred in the Windows Event Log.
 
 [Event Time]: 10/3/2025 9:33:28 PM
 
 ----------------------------------------------------------------------
 
 [View in SQL Sentry Client]:
 
 url:sqlsentry:brprwscv598a/SentryOne/em/eventview/?c=528&id=549029464
 
 ----------------------------------------------------------------------
 
 [Timestamp (Local)]: 10/3/2025 9:33:53 PM
 
 [Timestamp (UTC)]: 10/4/2025 4:33:53 AM
 
 [Generated By]: SolarWinds SQL Sentry 2025.1 Server [BRPRWMGT017]
 
 [Version]: 2025.1.1.47822
 
 [Monitor Type]: EventHistoryMonitor
 
 [Condition]: Windows Event Log: Event
 
 [Response Ruleset]: Notify Every Time (default)
 
 [Configured Object Name]: Global
 
 [Configured Object Type]: Global
 
 ----------------------------------------------------------------------
 
 [Source]: MSSQLSERVER
 
 [Event ID]: 9645
 
 [Level]: Error
 
 [Op Code]: Info
 
 [Task Category]: Server
 
 [Computer]: brprwsql608.int.mgc.com
 
 ----------------------------------------------------------------------
 
 
 
 
 
 ________________________________
 
  This e-mail message, including any attachments, is for the sole use of the intended recipient, and may contain material that is privileged or confidential and legally protected from disclosure. If you are not the intended recipient or have received this message in error, you are not authorized to copy, distribute, or otherwise use this message or its attachments. Please notify the sender immediately by return e-mail and permanently delete this message and any attachments.",0,
INC6032524,,02/10/2025 23:32,,SentryOne Monitoring/Alert,Database-SQL,Monitoring/Alert,Closed,SE DBA SQL,SentryOne ATG,3 - Low,3 - Low,10/10/2025 0:00,"10/2/2025 11:30:00 PM -> Step 2 [Step 2 Apply Users Permissions.]:
